id,name
74,Animal / Creature Accessories
75,Animal / Creature Body Parts
28,Animals / Creatures
"32,""Bars, Ladders and Fences"""
1,Baseplates
"42,""Belville, Scala and Fabuland"""
11,Bricks
37,Bricks Curved
20,Bricks Round and Cones
3,Bricks Sloped
5,Bricks Special
6,Bricks Wedged
48,Clikits
7,Containers
"4,""Duplo, Quatro and Primo"""
45,Electronics
69,Energy Effects
"38,""Flags, Banners and Signs"""
17,Gear Parts
"18,""Hinges, Arms and Turntables"""
50,HO Scale
41,Large Buildable Figures
39,Magnets and Holders
44,Mechanical
62,Minidoll Heads
64,Minidoll Lower Body
63,Minidoll Upper Body
27,Minifig Accessories
59,Minifig Heads
65,Minifig Headwear
72,Minifig Headwear Accessories
70,Minifig Hipwear
61,Minifig Lower Body
71,Minifig Neckwear
"73,""Minifig Shields, Weapons, & Tools"""
60,Minifig Upper Body
13,Minifigs
66,Modulex
"57,""Non-Buildable Figures (Duplo, Fabuland, etc)"""
77,Non-System Parts
24,Other
23,Panels
78,Pen & Watch
76,Plants & Trees
14,Plates
49,Plates Angled
21,Plates Round Curved and Dishes
9,Plates Special
22,Pneumatics
68,Projectiles / Launchers
33,Rock
58,Stickers
"31,""String, Bands and Reels"""
"34,""Supports, Girders and Cranes"""
46,Technic Axles
51,Technic Beams
55,Technic Beams Special
8,Technic Bricks
54,Technic Bushes
12,Technic Connectors
52,Technic Gears
40,Technic Panels
53,Technic Pins
26,Technic Special
"25,""Technic Steering, Suspension and Engine"""
19,Tiles
67,Tiles Round and Curved
15,Tiles Special
56,Tools
36,Transportation - Land
35,Transportation - Sea and Air
30,Tubes and Hoses
29,Wheels and Tyres
16,Windows and Doors
47,Windscreens and Fuselage
43,Znap
